yaw, pitch, roll, rawX (accel), rawY, rawZ, tmp36, Time (HH:MM:SS), Date (MM/DD/YY),GPS Fix, Fix Quality, Latitude, Longitude, knots, altitude, # of satellite fixes
152.54,-4.00,-2.86,14.67,-5.91,258.05,23.31,14:57:19.546,8/28/14,1,1,4102.1562N, 8237.7285W,5.95,24638.40,6
158.98,-3.67,-2.95,13.72,-6.89,257.02,19.83,14:57:19.734,8/28/14,1,1,4102.1567N, 8237.7285W,6.15,24640.90,6
164.66,-3.52,-3.12,15.62,-6.89,256.00,15.19,14:57:19.953,8/28/14,1,1,4102.1577N, 8237.7294W,6.15,24641.30,6
169.61,-3.19,-2.96,16.56,-5.91,258.05,19.83,14:57:19.953,8/28/14,1,1,4102.1577N, 8237.7294W,6.45,24641.30,6
173.92,-2.81,-2.64,12.78,-5.91,257.02,20.41,14:57:20.171,8/28/14,1,1,4102.1577N, 8237.7294W,6.79,24643.70,6
177.77,-2.65,-2.64,13.72,-6.89,257.02,19.25,14:57:20.359,8/28/14,1,1,4102.1591N, 8237.7285W,6.79,24649.20,6
-178.80,-2.60,-2.51,13.72,-6.89,250.88,19.25,14:57:20.359,8/28/14,1,1,4102.1591N, 8237.7285W,7.17,24649.20,6
-175.73,-2.53,-2.19,14.67,-6.89,250.88,23.31,14:57:20.562,8/28/14,1,1,4102.1596N, 8237.7285W,7.17,24650.00,6
-172.98,-2.42,-2.04,13.72,-5.91,247.81,19.25,14:57:20.562,8/28/14,1,1,4102.1596N, 8237.7285W,7.56,24650.00,6
-170.46,-2.49,-2.08,13.72,-7.88,244.74,19.25,14:57:20.750,8/28/14,1,1,4102.1596N, 8237.7294W,7.72,24650.70,6
-168.19,-2.61,-1.85,13.72,-6.89,241.66,19.25,14:57:20.968,8/28/14,1,1,4102.1601N, 8237.7294W,7.72,24651.60,6
-166.20,-2.26,-1.46,12.78,-6.89,234.50,20.99,14:57:20.968,8/28/14,1,1,4102.1601N, 8237.7294W,7.91,24651.60,6
-164.38,-2.41,-1.23,13.72,-5.91,229.38,19.25,14:57:21.156,8/28/14,1,1,4102.1606N, 8237.7304W,7.91,24652.60,6
-162.77,-2.28,-1.09,11.83,-6.89,225.28,19.25,14:57:21.359,8/28/14,1,1,4102.1606N, 8237.7304W,8.03,24653.60,6
-161.29,-2.48,-0.75,13.72,-6.89,220.16,24.47,14:57:21.359,8/28/14,1,1,4102.1606N, 8237.7304W,7.98,24653.60,6
-159.98,-2.37,-0.67,10.88,-6.89,214.02,19.25,14:57:21.546,8/28/14,1,1,4102.1616N, 8237.7314W,7.98,24654.60,6
-158.76,-2.61,-0.66,13.72,-4.92,214.02,19.25,14:57:21.546,8/28/14,1,1,4102.1616N, 8237.7314W,7.96,24654.60,6
-157.70,-2.71,-0.65,11.83,-5.91,209.92,19.83,14:57:21.765,8/28/14,1,1,4102.1616N, 8237.7314W,8.01,24655.80,7
-156.79,-2.77,-0.57,11.83,-5.91,209.92,21.57,14:57:21.953,8/28/14,1,1,4102.1616N, 8237.7314W,8.01,24657.20,7
-155.98,-3.12,-0.70,11.83,-5.91,207.87,19.25,14:57:21.953,8/28/14,1,1,4102.1616N, 8237.7314W,7.96,24657.20,7
-155.30,-3.35,-0.88,11.83,-5.91,208.90,19.25,14:57:22.171,8/28/14,1,1,4102.1616N, 8237.7314W,7.96,24658.00,7
-154.75,-3.67,-0.91,10.88,-6.89,217.09,19.25,14:57:22.171,8/28/14,1,1,4102.1616N, 8237.7314W,7.88,24658.00,7
-154.34,-3.87,-1.29,12.78,-5.91,225.28,19.25,14:57:22.359,8/28/14,1,1,4102.1621N, 8237.7314W,7.60,24658.90,7
-154.00,-4.05,-1.84,13.72,-5.91,230.40,19.25,14:57:22.562,8/28/14,1,1,4102.1621N, 8237.7314W,7.60,24659.70,7
-153.84,-3.99,-2.20,14.67,-6.89,239.62,19.25,14:57:22.562,8/28/14,1,1,4102.1621N, 8237.7314W,7.40,24659.70,7
-153.86,-3.77,-2.50,13.72,-5.91,244.74,19.83,14:57:22.750,8/28/14,1,1,4102.1621N, 8237.7324W,7.26,24660.20,7
-154.00,-3.62,-2.94,14.67,-6.89,248.83,19.25,14:57:22.968,8/28/14,1,1,4102.1621N, 8237.7324W,7.26,24660.60,7
-154.32,-3.24,-3.14,15.62,-5.91,250.88,19.25,14:57:22.968,8/28/14,1,1,4102.1621N, 8237.7324W,7.11,24660.60,7
-154.78,-2.90,-3.12,14.67,-5.91,251.90,22.15,14:57:23.156,8/28/14,1,1,4102.1625N, 8237.7333W,7.11,24660.90,7
-155.32,-2.66,-3.22,15.62,-7.88,254.98,19.25,14:57:23.156,8/28/14,1,1,4102.1625N, 8237.7333W,7.12,24660.90,7
-155.93,-2.47,-3.32,15.62,-5.91,254.98,19.25,14:57:23.359,8/28/14,1,1,4102.1630N, 8237.7333W,7.14,24661.30,7
-156.65,-2.29,-3.10,15.62,-6.89,253.95,19.25,14:57:23.546,8/28/14,1,1,4102.1630N, 8237.7343W,7.14,24661.80,7
-157.39,-2.07,-3.04,14.67,-6.89,256.00,21.57,14:57:23.546,8/28/14,1,1,4102.1630N, 8237.7343W,7.22,24661.80,7
-158.15,-2.09,-2.95,14.67,-6.89,256.00,19.25,14:57:23.765,8/28/14,1,1,4102.1640N, 8237.7353W,7.30,24662.20,7
